text,label,fold,clean_text
"Elegant lobby, comfy beds, nice sheets but, we were given a (not fancy, a little dated) room on the 5th floor which had a view of the monstrous venting structure, and was located off the lobby so we heard the elevator all night. At the Hilton, one is charged for Internet access on each device per hour. (We stayed in the middle of Ohio and received total access for free.) We didn't drink the $6.00 water or try the $28. Breakfast buffet. The staff was friendly, but of course you tip for a smile. They did give us a cot for free as we had asked for a room with a fold-out couch as we were a party of 5. Didn't use the gym or pool on the 8th floor, but looked nice (small pool.) No view of the water possible, though we were right at Grant Park. We tried to view the fireworks from a higher story, no such luck. ...read more",truthful,1,elegant lobby comfy bed nice sheet given not fancy little dated room th floor view monstrous venting structure located lobby heard elevator night hilton one charged internet access device per hour stayed middle ohio received total access free didnt drink water try breakfast buffet staff friendly course tip smile give u cot free asked room foldout couch party didnt use gym pool th floor looked nice small pool no view water possible though right grant park tried view firework higher story no luck read
"Months prior to my 5-night reservation with the Hilton Chicago I requested a room that allowed in a lot of natural light, facing an open view, not a close building. (The reservation was made through a conference travel agency.) I confirmed my request by telephone a few days in advance directly with the hotel and at check-in the clerk noted it in my record. She told me it would be difficult to find, but consulted a chart and appeared to be satisfied with the room she assigned me. I was very surprised to open the door onto a room on the inside of one of the towers, tucked into a very dark corner, facing a wall of rooms. I called the desk immediately and was told that the hotel was sold out and it was hard to tell what rooms were still available that suited my request, but to ""sit tight"" and someone would call me. No one did. Further calls yielded similar results. At one point I was told I could have a ""parlor room,"" with a sofa bed, at a reduced rate, but I could not go see the room before committing to moving. That's real hospitality for you. Worried that a bad sofa bed could be worse than rooming in a cave, I ended up staying in the dreadfully dark room. (I had asked for a bright room with one bed and got a dark room with two beds.) The only redeeming feature of the room was that it had 2 bathrooms. Other than that, it was tight quarters with a tiny closet, two uncomfortably low chairs, at the desk and in a (dark) corner. Light fixtures didn't do much to brighten things up. Since I was here at a conference, I really wanted a bright environment to wake up early and start the workday in and to have as a cheerful office for mid-day calls and e-mail, but instead I got a cave. Consequently, I spent as little time as possible in the room and next time I am in Chicago, conference or not, I will absolutely stay at another hotel. There are much better locations that the Hilton Chicago and looking at the percentage of ""inside tower"" rooms, places with a much better chance of having a bright room as well as better customer service. Shame on the Chicago Hilton.",truthful,1,month prior night reservation hilton chicago requested room allowed lot natural light facing open view not close building reservation made conference travel agency confirmed request telephone day advance directly hotel checkin clerk noted record told would difficult find consulted chart appeared satisfied room assigned surprised open door onto room inside one tower tucked dark corner facing wall room called desk immediately told hotel sold hard tell room still available suited request sit tight someone would call no one call yielded similar result one point told could parlor room sofa bed reduced rate could not go see room committing moving thats real hospitality worried bad sofa bed could worse rooming cave ended staying dreadfully dark room asked bright room one bed got dark room two bed redeeming feature room bathroom tight quarter tiny closet two uncomfortably low chair desk dark corner light fixture didnt much brighten thing since conference really wanted bright environment wake early start workday cheerful office midday call email instead got cave consequently spent little time possible room next time chicago conference not absolutely stay another hotel much better location hilton chicago looking percentage inside tower room place much better chance bright room well better customer service shame chicago hilton
I recently stayed here for the Chicago triathlon. This was my third stay at this hotel. I have not had any issues until this visit. After the 3rd day of my stay I requested my room to be serviced and returned to what I thought was a clean room. While getting out of bed I was cut by a piece of glass in the carpet. I must not have been the first person to be cut in the room because I found dried blood on the bathroom floor afterwards. I had not noticed it before so I was very disgusted. We notified the staff and asked that the room be vacuumed and the bathroom mopped. We returned to the room after 5pm to find that the dried blood was still on the floor. After making a complaint to the customer service I have gotten no reply from the hotel. Considering the price point of this downtown hotel I would think that they would try to live up the 5 star rating but instead they have failed miserably. Luckily there are many hotels to choose from in downtown Chicago.,truthful,1,recently stayed chicago triathlon third stay hotel not issue visit rd day stay requested room serviced returned thought clean room getting bed cut piece glass carpet must not first person cut room found dried blood bathroom floor afterwards not noticed disgusted notified staff asked room vacuumed bathroom mopped returned room pm find dried blood still floor making complaint customer service gotten no reply hotel considering price point downtown hotel would think would try live star rating instead failed miserably luckily many hotel choose downtown chicago
"Our non-smoking room smelled very badly of stale cigarette smoke. We were not allowed to change rooms. Also, the concierge staff was unprofessional, telling long winded personal stories to uninterested guests while long lines formed. The location was great. Hotel is dated, but would still be a nice place to stay if it weren't for customer service issues.",truthful,1,nonsmoking room smelled badly stale cigarette smoke not allowed change room also concierge staff unprofessional telling long winded personal story uninterested guest long line formed location great hotel dated would still nice place stay werent customer service issue
"I stay in Chicago all the time on business and had my first stay at the Chicago Hilton. I pretty much only stay at Hilton properties and have stayed at tons from Hawaii all the way to Budapest. This Hilton is not up to par. It's clean and the front desk staff is nice, but in Chicago, The Drake, Doubletree Guest Suites, and even the Hilton Garden Inn are all superior to the Chicago Hilton (and less expensive). Compared to other Hilton properties in Chicago, the rooms were not as well appointed, the bathrooms in the rooms were smaller and not as nice, the TV was tiny, the hallways on the executive floor were very noisy all night long, and the breakfast you get was more like a Hampton Inn than a 4 star hotel. If you're going to Chicago and you like Hilton brand hotels, you can do far better than this place.",truthful,1,stay chicago time business first stay chicago hilton pretty much stay hilton property stayed ton hawaii way budapest hilton not par clean front desk staff nice chicago drake doubletree guest suite even hilton garden inn superior chicago hilton less expensive compared hilton property chicago room not well appointed bathroom room smaller not nice tv tiny hallway executive floor noisy night long breakfast get like hampton inn star hotel youre going chicago like hilton brand hotel far better place
"My sister and I stayed on the 22nd floor, there was a refrigerator in the hallway for the first three nights, beat up and old dorm style. It was not until we told the concierge that we were going to post the picture we took of it on Tripadvisor did the thing get removed. Breakfast dishes left outside rooms will stay on the floor for a day or two routinely. All night there are chimes that make noise, that are supposed to be comformting or relaxing and rather they are just annoying. There is no wifi - no matter what they tell you, I paid for the wifi, and still we were unable to get on. Lastly, my sister and I split the bill, I had already paid for the first night in form of a deposit and they gave her the credit. Room cost with city taxes etc. was 313.69 a night. I know the Comfort Inn just a few blocks away is significantly cheaper! So while the View was wonderful, it is NOT worth the money.",truthful,1,sister stayed nd floor refrigerator hallway first three night beat old dorm style not told concierge going post picture took tripadvisor thing get removed breakfast dish left outside room stay floor day two routinely night chime make noise supposed comformting relaxing rather annoying no wifi no matter tell paid wifi still unable get lastly sister split bill already paid first night form deposit gave credit room cost city tax etc night know comfort inn block away significantly cheaper view wonderful not worth money
"When I called to edit my existing reservation, I was placed on hold for 30 minutes! Finally someone came on the phone and said, ""Ill have to transfer you"", so I was put on hold for another 5 minutes. When I finally did get to speak to someone, as I was going through my changes, I asked her to send me a revised copy of the reservation to which she huffed and acted very put off. Before she was able to disconnect with me, I said ""I have one more question"" to which she replied ""I'm working at the front desk and I have customers waiting!"" I thought, so am I not your customer? pathetic and rude. Hotel better find some better employees for their guests to truly enjoy their stay.",truthful,1,called edit existing reservation placed hold minute finally someone came phone said ill transfer put hold another minute finally get speak someone going change asked send revised copy reservation huffed acted put able disconnect said one question replied im working front desk customer waiting thought not customer pathetic rude hotel better find better employee guest truly enjoy stay
"Visiting during a busy 2day conference in Chicago. Most hotels booked solid. The full hotel allows you to meet a wide array of customers. Everyone is complaining about service, cleanliness, and overall experience. Location is good. Hotel is tired. Employees surly. Too many cool properties to choose from in this town, will never stay here again and will re-think Hilton in general",truthful,1,visiting busy day conference chicago hotel booked solid full hotel allows meet wide array customer everyone complaining service cleanliness overall experience location good hotel tired employee surly many cool property choose town never stay rethink hilton general
"It's not a bad hotel. It's just so...disappointing. As a Diamond member, I expect slightly more than a room with two double beds with no view. I'm not distraught over this, but come on. Ditto the continental breakfast in the executive lounge, which has nothing but fattening pastries, bagels and cereal. Low-level Hampton Inns have a free breakfast that puts this to shame. And what's with the lounge not opening until 6:30am? Business travelers often need to be GONE by 6:30, not sitting down to their meager breakfast. The in-room wifi is a pain to access, and I somehow got stuck with the $19.99 plan even though I selected the basic plan. (Don't get me started on how a $89/night Hampton Inn can offer free wifi and a full-service Hilton & Towers seemingly can't...). Finally, what's with the two bathrooms per one hotel room? It's an unseemly waste of space, especially when the rooms are so meager. And the gold-plated bathroom fixtures scream 1992, not 2009, as does the picture-tube TV (vs. flat panel). Overall, this is a huge disappointment over which Conrad should be ashamed.",truthful,1,not bad hotel sodisappointing diamond member expect slightly room two double bed no view im not distraught come ditto continental breakfast executive lounge nothing fattening pastry bagel cereal lowlevel hampton inn free breakfast put shame whats lounge not opening business traveler often need gone not sitting meager breakfast inroom wifi pain access somehow got stuck plan even though selected basic plan dont get started night hampton inn offer free wifi fullservice hilton tower seemingly cant finally whats two bathroom per one hotel room unseemly waste space especially room meager goldplated bathroom fixture scream not picturetube tv v flat panel overall huge disappointment conrad ashamed
"Had a week long stay at the Hilton on south Michigan while attending a meeting. The hotel has some elegance in the lobby, meeting rooms and lounges - the hotel rooms could definitely use updating. I would definitely say that for the price of a room here - the rooms should be top notch. My car was misplaced during valet parking, our reservations were messed up, hotel staff showed up repeatedly throughout the week at our door with items (room service, a new coffee pot, laundry) that wasn't ours. I would not stay at this property again. There are much better places for the money in close proximity to Michigan Ave. It is a very big hotel and at times it felt like we were staying at Faulty Towers.",truthful,1,week long stay hilton south michigan attending meeting hotel elegance lobby meeting room lounge hotel room could definitely use updating would definitely say price room room top notch car misplaced valet parking reservation messed hotel staff showed repeatedly throughout week door item room service new coffee pot laundry wasnt would not stay property much better place money close proximity michigan ave big hotel time felt like staying faulty tower
"My parents booked five nights at The James for its location and good reviews. They had a terrible first night with defective air conditioning and not much sympathy from the management staff. They sent engineers three times to repair the unit, and they insisted that it was getting cooler when it wasn't, under the rationale that the summer temperature is high and the filter was dirty. At my parents' request, the hotel staff moved them to a lower floor with a queen instead of a king and with neither a rate discount nor an effort to compensate them for the inconvenience and discomfort. The hotel insisted they were fully booked and reluctantly gave them that room. Don't book this hotel in the summer. And by the way, there is no view at all from any of the rooms - except for the windows of other buildings.",truthful,1,parent booked five night james location good review terrible first night defective air conditioning not much sympathy management staff sent engineer three time repair unit insisted getting cooler wasnt rationale summer temperature high filter dirty parent request hotel staff moved lower floor queen instead king neither rate discount effort compensate inconvenience discomfort hotel insisted fully booked reluctantly gave room dont book hotel summer way no view room except window building
"We ate at the Prime House restaurant last year, that is why we picked the hotel. Last year the food and service at the Prime House was outstanding. This year the service felt rushed. The waitress even asked why we were eating so early. It was 6:30pm. Our room in the hotel felt cramped. The beds were comfortable. The bathroom had maintenance problems. The maid service and turndown out night was good. All of the staff at the hotel were friendly and helpful. I just was not impressed by the quality of the hotel itself for what we were paying.",truthful,1,ate prime house restaurant last year picked hotel last year food service prime house outstanding year service felt rushed waitress even asked eating early pm room hotel felt cramped bed comfortable bathroom maintenance problem maid service turndown night good staff hotel friendly helpful not impressed quality hotel paying
"Just returned from the James Hotel after staying at the Park Hyatt. I have stayed at most Chicago Hotels: Pennisula, Four Seasons, The Ritz, Fairmont etc. Had heard a little about the James and the Primehouse at the James. We paid MORE for the room at the James then at any of the above mentioned hotels. What a disappoitment! The room we stayed in had 2 double beds. The toilet broke and overflowed, the tub didnt drain while showering and the HUGE bathroom door that was almost too heavy to close broke several times. The closet had no door but a curtain to close and no drawer space for clothes at all. The room was very small and non descript. Much like staying at an IKEA but without the color. Windows to outside terribly dirty and the elevators dirty and small. The staff however was top notch and exceptionally helpful and friendly. The room had a huge 52"" plasma TV that was nice. There is NO way this hotel is 4 star yet. The room rate close to $500.00 a night was WAY of of line. We paid more here than any of the above mentioned hotels. The rate should have been about half of that.",truthful,1,returned james hotel staying park hyatt stayed chicago hotel pennisula four season ritz fairmont etc heard little james primehouse james paid room james mentioned hotel disappoitment room stayed double bed toilet broke overflowed tub didnt drain showering huge bathroom door almost heavy close broke several time closet no door curtain close no drawer space clothes room small non descript much like staying ikea without color window outside terribly dirty elevator dirty small staff however top notch exceptionally helpful friendly room huge plasma tv nice no way hotel star yet room rate close night way line paid mentioned hotel rate half
"I recently returned from a trip to Chicago with my husband and baby and another couple and their baby. While the room at the hotel was quite nice we had a very negative experience with the front desk staff including managers. When we arrived it took over an hour to check in. We had requested two rooms on the same floor, which the hotel staff had confirmed a number of times prior to our arrival. When we arrived they could not accommodate us and offered nothing to us to make up for it. Eventually after we persisted they gave us half off for our room for one of the three nights we were there. We also asked the concierge to make us a reservation for brunch at a restaurant that would accommodate 4 adults and two babies in strollers. When we got to the restaurant they had only a reservation for 4 adults and had to make special arrangements to fit the babies in. We also had asked the hotel to make us an appointment for a personal shopper at Bloomingdales in order for us to save time shopping. We filled out forms in advance to direct the shopper and when we arrived for our appointment Bloomingdales advised us that they had only received the applications moments before and had not pulled together our requests. After complaining again to the manager at the hotel of these disappointments she advised that she would send something up to our room to compensate. This ""something"" never arrived. We will not be making a return visit to this hotel. While the housekeeping staff, location and room were quite nice the over all experience was very negative.",truthful,1,recently returned trip chicago husband baby another couple baby room hotel quite nice negative experience front desk staff including manager arrived took hour check requested two room floor hotel staff confirmed number time prior arrival arrived could not accommodate u offered nothing u make eventually persisted gave u half room one three night also asked concierge make u reservation brunch restaurant would accommodate adult two baby stroller got restaurant reservation adult make special arrangement fit baby also asked hotel make u appointment personal shopper bloomingdales order u save time shopping filled form advance direct shopper arrived appointment bloomingdales advised u received application moment not pulled together request complaining manager hotel disappointment advised would send something room compensate something never arrived not making return visit hotel housekeeping staff location room quite nice experience negative
Very disapointed in the service and quality of this hotel. I travel quite frequently to chicago and have never had this happen at any other 4 star hotel. I reserved a king bed. At checkin I was informed they were out of kings and basically offered no type of compensation or upgrade. When i arrived at the room the air conditioner door was open and rattled all night. The TV did not work. Had to call for service. The following day returned from work at 6pm and found the room had not even been serviced. Stay somewhere else.,truthful,1,disapointed service quality hotel travel quite frequently chicago never happen star hotel reserved king bed checkin informed king basically offered no type compensation upgrade arrived room air conditioner door open rattled night tv not work call service following day returned work pm found room not even serviced stay somewhere else
"Me, My sister and my best friend all went to stay here in the summer of 2004...they said there all spacious suites...yeah right...our room you could barely walk in...and they said theres 2 double beds...yeah well one was a pull out couch...and the bathroom...tiny tiny tiny...and it took forever and a day to check in and the people blamed us for throwing a book out the window and somehow someone knew exactly where it fell from and which room...yeah...i wouldnt stay here again",truthful,1,sister best friend went stay summer said spacious suitesyeah rightour room could barely walk inand said there double bedsyeah well one pull couchand bathroomtiny tiny tinyand took forever day check people blamed u throwing book window somehow someone knew exactly fell roomyeahi wouldnt stay
"I stayed in a Deluxe King Suite. No desk to work at or to sit at to eat room service meals. The only table was coffee table height and the couch was some strange futon that was lower than the coffee table (!) and canted forward. Incredibly uncomfortable to sit at and ridiculous for room service meals or to work at computer. Since my room was configured like all the other Deluxe King Suites depicted in on line photos, I have to assume this design flaw with the couch/futon runs throughout the property. Bed was fine and bath was fine but I can't imagine why business travelers would rate this property well. The couch/futon seating is the worst I've encountered in a modern hotel.",truthful,1,stayed deluxe king suite no desk work sit eat room service meal table coffee table height couch strange futon lower coffee table canted forward incredibly uncomfortable sit ridiculous room service meal work computer since room configured like deluxe king suite depicted line photo assume design flaw couchfuton run throughout property bed fine bath fine cant imagine business traveler would rate property well couchfuton seating worst ive encountered modern hotel
"This hotel does not belong in the same league as The Peninsula, Four Seasons, or Ritz Carlton. It was more like staying at an overpriced W Hotel. Staff was very nice and attentive, but the lobby is cramped, and only two small elevators for 17 floors!! Several times the elevator was full by the time it reached our floor, and we were forced to take the stairs. The hotel must be flooding the travel websites itself with high reviews.",truthful,1,hotel not belong league peninsula four season ritz carlton like staying overpriced w hotel staff nice attentive lobby cramped two small elevator floor several time elevator full time reached floor forced take stair hotel must flooding travel website high review
"I haven't actually stayed at this hotel- yet- but am already disappointed in their customer service. I visit Chicago quite often and usually stay at the InterContinental, but yesterday I read some online articles advertising The James Hotel's ""Cyber Monday Special"". The promo states that if you buy a gift certificate from their website, the hotel will match that amount in ""James Credits"" that can be used toward your stay. None of the articles gave an expiration date for these credits. My next trip to Chicago is in April, so I thought I'd give The James a try. I travel frequently with my pet and I've heard they have a very liberal pet-policy. So today I went online and bought a $500 certificate. Me, having the one track mind that I do, somehow missed the part about the credits expiring March 31, 2010. I realized my mistake immediately and called the hotel front desk to explain my predicament. I said I couldn't be in Chicago until April (I'm overseas on business until then), and asked if they could extend my credits an extra month, or it not, refund my gift certificate purchase. I had only just made the purchase minutes before and hadn't even recieved my email confirmation yet. Most businesses offer a 24 hr grace period. The girl at the front dest was extremely rude to me- basically saying ""too bad, it's your problem now"". She didn't even bother to act polite or pretend to be sympathetic about my situation at all. So now that I know this is the kind of service I can expect from The James, I might just call it a wash and stay at my usual hotel, or try Hotel Monaco. I hear they have great service and are good with pets too.",truthful,1,havent actually stayed hotel yet already disappointed customer service visit chicago quite often usually stay intercontinental yesterday read online article advertising james hotel cyber monday special promo state buy gift certificate website hotel match amount james credit used toward stay none article gave expiration date credit next trip chicago april thought id give james try travel frequently pet ive heard liberal petpolicy today went online bought certificate one track mind somehow missed part credit expiring march realized mistake immediately called hotel front desk explain predicament said couldnt chicago april im overseas business asked could extend credit extra month not refund gift certificate purchase made purchase minute hadnt even recieved email confirmation yet business offer hr grace period girl front dest extremely rude basically saying bad problem didnt even bother act polite pretend sympathetic situation know kind service expect james might call wash stay usual hotel try hotel monaco hear great service good pet
"This hotel was not worth it. From the moment we walked into the hotel lobby through check out, the staff were rude and contemptuous. Rooms were only serviceable, and certainly did not live up to the pompous self-descriptions on the website. The bathroom porthole and sliding door were odd and inconvenient. The 'fitness centre' was tiny and poor. We would not come here again.",truthful,1,hotel not worth moment walked hotel lobby check staff rude contemptuous room serviceable certainly not live pompous selfdescriptions website bathroom porthole sliding door odd inconvenient fitness centre tiny poor would not come
